Loop detection ... Done
Garbage collector... Done
Loop I/O... Done
Debug graph... Done
Algorithm reconstruction... Done
Algorithm graph... Done
Dump results... Done
         1583740 function calls (1583100 primitive calls) in 5.711 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    5.711    5.711 {execfile}
        1    0.014    0.014    5.710    5.710 main.py:1(<module>)
        1    0.001    0.001    5.606    5.606 main.py:4(main)
    17199    1.085    0.000    3.587    0.000 instructionsTrace.py:214(connectorLineForST)
        1    0.448    0.448    2.055    2.055 loopTrace.py:577(buildLoopIOVar)
        1    0.083    0.083    1.807    1.807 loopTrace.py:527(detectLoop)
    30554    0.576    0.000    1.507    0.000 utilities.py:19(normalizeValueToRegister)
        1    0.101    0.101    1.342    1.342 algorithm.py:132(buildAlgorithms)
   162650    0.492    0.000    0.712    0.000 utilities.py:9(getRegisterLength)
427196/427153    0.579    0.000    0.579    0.000 {len}
   309141    0.466    0.000    0.466    0.000 {method 'find' of 'str' objects}
5693/5691    0.131    0.000    0.450    0.000 loopTrace.py:478(match)
        2    0.000    0.000    0.379    0.190 pydot.py:1789(<lambda>)
      4/2    0.002    0.000    0.379    0.190 pydot.py:1850(write)
        2    0.000    0.000    0.376    0.188 pydot.py:1886(create)
   181466    0.330    0.000    0.330    0.000 variable.py:19(contains)
        6    0.285    0.048    0.285    0.048 {method 'read' of 'file' objects}
        1    0.000    0.000    0.221    0.221 algorithm.py:35(graphListOfAlgo)
     5685    0.096    0.000    0.220    0.000 loopTrace.py:430(increment)
        1    0.001    0.001    0.180    0.180 loopTrace.py:259(graphLoopStorage)
    88415    0.131    0.000    0.131    0.000 {method 'append' of 'list' objects}
    50096    0.095    0.000    0.095    0.000 {method 'split' of 'str' objects}
        1    0.002    0.002    0.090    0.090 loopTrace.py:12(<module>)
        1    0.005    0.005    0.088    0.088 pydot.py:17(<module>)
    43632    0.078    0.000    0.078    0.000 {range}
    53253    0.076    0.000    0.076    0.000 {method 'strip' of 'str' objects}
    45512    0.068    0.000    0.068    0.000 loopTrace.py:93(head)
    15399    0.046    0.000    0.067    0.000 loopTrace.py:106(empty)
      520    0.025    0.000    0.065    0.000 loopTrace.py:57(suppressByTheEnd)
        1    0.004    0.004    0.059    0.059 dot_parser.py:11(<module>)
    17202    0.059    0.000    0.059    0.000 instructionsTrace.py:32(__init__)
        2    0.001    0.001    0.055    0.028 pydot.py:1559(to_string)
        1    0.003    0.003    0.054    0.054 pyparsing.py:59(<module>)
     5498    0.034    0.000    0.051    0.000 utilities.py:27(bigToLittleEndian)
     5498    0.027    0.000    0.041    0.000 utilities.py:2(normalizeValueToSize)
       24    0.000    0.000    0.039    0.002 re.py:188(compile)
       24    0.000    0.000    0.039    0.002 re.py:229(_compile)
       24    0.000    0.000    0.038    0.002 sre_compile.py:501(compile)
      332    0.002    0.000    0.036    0.000 pydot.py:174(quote_if_necessary)
       32    0.001    0.000    0.033    0.001 pydot.py:785(to_string)
  260/232    0.017    0.000    0.032    0.000 pydot.py:147(needs_quotes)
     5739    0.020    0.000    0.028    0.000 loopTrace.py:25(push)
    17270    0.028    0.000    0.028    0.000 {method 'keys' of 'dict' objects}
    12395    0.027    0.000    0.027    0.000 {method 'readline' of 'file' objects}
     5727    0.017    0.000    0.026    0.000 loopTrace.py:28(pop)
      166    0.024    0.000    0.024    0.000 pydot.py:667(create_attribute_methods)
       24    0.000    0.000    0.023    0.001 sre_parse.py:669(parse)
    51/24    0.001    0.000    0.023    0.001 sre_parse.py:307(_parse_sub)
    71/29    0.006    0.000    0.022    0.001 sre_parse.py:385(_parse)
        2    0.011    0.006    0.020    0.010 pydot.py:393(find_graphviz)
    12108    0.019    0.000    0.019    0.000 instructionsTrace.py:51(equal)
       10    0.000    0.000    0.018    0.002 pyparsing.py:1746(__init__)
      100    0.001    0.000    0.018    0.000 pydot.py:846(__init__)
    11387    0.017    0.000    0.017    0.000 {method 'difference' of 'set' objects}
        9    0.000    0.000    0.017    0.002 pyparsing.py:1623(__init__)
       24    0.000    0.000    0.014    0.001 sre_compile.py:486(_code)
     5848    0.012    0.000    0.014    0.000 {method 'add' of 'set' objects}
    10346    0.014    0.000    0.014    0.000 {ord}
     1872    0.010    0.000    0.013    0.000 variable.py:25(__init__)
        1    0.003    0.003    0.012    0.012 tempfile.py:18(<module>)
   113/24    0.003    0.000    0.010    0.000 sre_compile.py:38(_compile)
     5693    0.010    0.000    0.010    0.000 instructionsTrace.py:60(isALoop)
       64    0.001    0.000    0.009    0.000 pydot.py:714(__init__)
        1    0.000    0.000    0.009    0.009 pyparsing.py:3418(makeHTMLTags)
        1    0.000    0.000    0.009    0.009 pyparsing.py:3390(_makeTags)
     5735    0.009    0.000    0.009    0.000 {method 'pop' of 'list' objects}
     5770    0.009    0.000    0.009    0.000 instructionsTrace.py:54(string)
      797    0.003    0.000    0.009    0.000 sre_parse.py:207(get)
        2    0.000    0.000    0.008    0.004 pyparsing.py:3310(srange)
        1    0.003    0.003    0.008    0.008 subprocess.py:377(<module>)
      565    0.003    0.000    0.008    0.000 copy.py:65(copy)
        1    0.001    0.001    0.008    0.008 random.py:40(<module>)
        2    0.000    0.000    0.008    0.004 pyparsing.py:1039(parseString)
    174/2    0.002    0.000    0.007    0.004 pyparsing.py:913(_parseNoCache)
     30/2    0.000    0.000    0.007    0.004 pyparsing.py:2333(parseImpl)
      947    0.005    0.000    0.007    0.000 sre_parse.py:188(__next)
       50    0.002    0.000    0.007    0.000 pydot.py:958(to_string)
        3    0.000    0.000    0.007    0.002 random.py:90(__init__)
        3    0.000    0.000    0.007    0.002 random.py:99(seed)
        3    0.007    0.002    0.007    0.002 {nt.urandom}
     56/2    0.000    0.000    0.007    0.003 pyparsing.py:2602(parseImpl)
        2    0.000    0.000    0.007    0.003 pyparsing.py:2749(parseImpl)
     20/8    0.000    0.000    0.006    0.001 pyparsing.py:2456(parseImpl)
        1    0.005    0.005    0.006    0.006 __init__.py:4(<module>)
        1    0.003    0.003    0.006    0.006 threading.py:1(<module>)
       25    0.000    0.000    0.005    0.000 sre_compile.py:184(_compile_charset)
       14    0.005    0.000    0.005    0.000 {method 'close' of 'file' objects}
       51    0.003    0.000    0.005    0.000 loopTrace.py:41(possibleLoops)
       25    0.002    0.000    0.005    0.000 sre_compile.py:213(_optimize_charset)
     2488    0.004    0.000    0.004    0.000 {isinstance}
        2    0.000    0.000    0.004    0.002 subprocess.py:561(__init__)
       24    0.001    0.000    0.004    0.000 sre_compile.py:367(_compile_info)
       40    0.000    0.000    0.004    0.000 pyparsing.py:699(copy)
        6    0.000    0.000    0.003    0.001 pyparsing.py:2987(__init__)
        2    0.000    0.000    0.003    0.002 subprocess.py:780(_execute_child)
     12/6    0.000    0.000    0.003    0.001 pyparsing.py:2608(leaveWhitespace)
        2    0.000    0.000    0.003    0.002 tempfile.py:259(mkstemp)
        2    0.003    0.001    0.003    0.001 {_subprocess.CreateProcess}
      762    0.001    0.000    0.002    0.000 sre_parse.py:201(match)
     10/6    0.000    0.000    0.002    0.000 pyparsing.py:2238(leaveWhitespace)
        2    0.000    0.000    0.002    0.001 subprocess.py:867(wait)
        2    0.002    0.001    0.002    0.001 {_subprocess.WaitForSingleObject}
        2    0.000    0.000    0.002    0.001 pydot.py:335(__find_executables)
      372    0.001    0.000    0.002    0.000 sre_parse.py:136(__getitem__)
        2    0.000    0.000    0.002    0.001 tempfile.py:247(gettempdir)
        1    0.000    0.000    0.002    0.002 tempfile.py:168(_get_default_tempdir)
        2    0.000    0.000    0.002    0.001 pydot.py:1762(__init__)
      688    0.002    0.000    0.002    0.000 {built-in method match}
   146/58    0.001    0.000    0.002    0.000 sre_parse.py:146(getwidth)
     1167    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
