Loop detection on 5736 instructions... Done
Dynamic instructions... Done
         2220915 function calls (1943175 primitive calls) in 7.648 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    7.648    7.648 <string>:1(<module>)
        1    0.001    0.001    7.648    7.648 {execfile}
        1    0.012    0.012    7.648    7.648 main.py:1(<module>)
        1    0.000    0.000    7.539    7.539 main.py:4(main)
        1    0.049    0.049    5.392    5.392 loopTrace.py:514(detectLoop)
212272/574    1.780    0.000    4.748    0.008 copy.py:144(deepcopy)
66006/574    0.365    0.000    4.734    0.008 copy.py:224(_deepcopy_list)
5693/5691    0.135    0.000    4.652    0.001 loopTrace.py:461(match)
     6469    0.098    0.000    4.501    0.001 copy.py:277(_deepcopy_inst)
     5685    0.107    0.000    4.414    0.001 loopTrace.py:413(increment)
      520    0.034    0.000    4.245    0.008 loopTrace.py:59(suppressByTheEnd)
     6469    0.356    0.000    4.163    0.001 copy.py:251(_deepcopy_dict)
        1    0.409    0.409    1.328    1.328 instructionsTrace.py:119(connectorForST)
   128282    0.625    0.000    0.998    0.000 copy.py:261(_keep_alive)
        6    0.399    0.066    0.796    0.133 loopTrace.py:553(detectDynamicInstructions)
   420112    0.594    0.000    0.594    0.000 {id}
       51    0.004    0.000    0.582    0.011 loopTrace.py:41(doublons)
    10190    0.202    0.000    0.531    0.000 utilities.py:19(normalizeValueToRegister)
   340733    0.513    0.000    0.513    0.000 {method 'get' of 'dict' objects}
   181345    0.348    0.000    0.348    0.000 variable.py:17(contains)
   212287    0.323    0.000    0.323    0.000 {method 'append' of 'list' objects}
    54252    0.174    0.000    0.252    0.000 utilities.py:9(getRegisterLength)
171811/171768    0.247    0.000    0.247    0.000 {len}
   118264    0.188    0.000    0.188    0.000 {method 'find' of 'str' objects}
        1    0.002    0.002    0.097    0.097 loopTrace.py:12(<module>)
        1    0.005    0.005    0.094    0.094 pydot.py:17(<module>)
    49338    0.073    0.000    0.073    0.000 copy.py:197(_deepcopy_atomic)
    15399    0.048    0.000    0.070    0.000 loopTrace.py:108(empty)
    45512    0.070    0.000    0.070    0.000 loopTrace.py:95(head)
    25958    0.065    0.000    0.065    0.000 {hasattr}
        1    0.004    0.004    0.064    0.064 dot_parser.py:11(<module>)
        1    0.003    0.003    0.058    0.058 pyparsing.py:59(<module>)
    22445    0.047    0.000    0.047    0.000 {method 'split' of 'str' objects}
       24    0.000    0.000    0.041    0.002 re.py:188(compile)
       24    0.000    0.000    0.040    0.002 re.py:229(_compile)
       24    0.000    0.000    0.040    0.002 sre_compile.py:501(compile)
        1    0.020    0.020    0.038    0.038 instructionsTrace.py:23(projectionOnInst)
     5739    0.036    0.000    0.036    0.000 instructionsTrace.py:31(__init__)
     5739    0.021    0.000    0.030    0.000 loopTrace.py:25(push)
     5727    0.018    0.000    0.028    0.000 loopTrace.py:28(pop)
    17758    0.027    0.000    0.027    0.000 {method 'strip' of 'str' objects}
    14267    0.027    0.000    0.027    0.000 {range}
       24    0.000    0.000    0.024    0.001 sre_parse.py:669(parse)
    51/24    0.001    0.000    0.024    0.001 sre_parse.py:307(_parse_sub)
    71/29    0.007    0.000    0.023    0.001 sre_parse.py:385(_parse)
        6    0.012    0.002    0.022    0.004 loopTrace.py:744(mergeDynamicVariable)
    12108    0.020    0.000    0.020    0.000 instructionsTrace.py:50(equal)
