Loop detection on 5736 instructions... Done
Dynamic instructions... Done
         789516 function calls (788906 primitive calls) in 2.895 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.895    2.895 <string>:1(<module>)
        1    0.001    0.001    2.895    2.895 {execfile}
        1    0.012    0.012    2.894    2.894 main.py:1(<module>)
        1    0.000    0.000    2.774    2.774 main.py:4(main)
        1    0.429    0.429    1.380    1.380 instructionsTrace.py:119(connectorForST)
        6    0.385    0.064    0.769    0.128 loopTrace.py:551(detectDynamicInstructions)
        1    0.045    0.045    0.603    0.603 loopTrace.py:512(detectLoop)
    10190    0.210    0.000    0.543    0.000 utilities.py:19(normalizeValueToRegister)
5693/5691    0.126    0.000    0.448    0.000 loopTrace.py:459(match)
   181345    0.336    0.000    0.336    0.000 variable.py:17(contains)
    54252    0.174    0.000    0.254    0.000 utilities.py:9(getRegisterLength)
171862/171819    0.251    0.000    0.251    0.000 {len}
     5685    0.096    0.000    0.222    0.000 loopTrace.py:411(increment)
   118264    0.193    0.000    0.193    0.000 {method 'find' of 'str' objects}
        1    0.003    0.003    0.107    0.107 loopTrace.py:12(<module>)
        1    0.006    0.006    0.105    0.105 pydot.py:17(<module>)
    47544    0.076    0.000    0.076    0.000 {method 'append' of 'list' objects}
        1    0.005    0.005    0.071    0.071 dot_parser.py:11(<module>)
    15399    0.046    0.000    0.068    0.000 loopTrace.py:106(empty)
    45512    0.067    0.000    0.067    0.000 loopTrace.py:93(head)
      520    0.025    0.000    0.066    0.000 loopTrace.py:57(suppressByTheEnd)
        1    0.003    0.003    0.065    0.065 pyparsing.py:59(<module>)
    22445    0.049    0.000    0.049    0.000 {method 'split' of 'str' objects}
       24    0.000    0.000    0.046    0.002 re.py:188(compile)
       24    0.001    0.000    0.046    0.002 re.py:229(_compile)
       24    0.000    0.000    0.045    0.002 sre_compile.py:501(compile)
     5739    0.040    0.000    0.040    0.000 instructionsTrace.py:31(__init__)
        1    0.019    0.019    0.036    0.036 instructionsTrace.py:23(projectionOnInst)
       24    0.000    0.000    0.029    0.001 sre_parse.py:669(parse)
     5739    0.020    0.000    0.029    0.000 loopTrace.py:25(push)
    14318    0.028    0.000    0.028    0.000 {range}
    51/24    0.001    0.000    0.028    0.001 sre_parse.py:307(_parse_sub)
    71/29    0.008    0.000    0.028    0.001 sre_parse.py:385(_parse)
    17758    0.027    0.000    0.027    0.000 {method 'strip' of 'str' objects}
     5727    0.017    0.000    0.026    0.000 loopTrace.py:28(pop)
        6    0.012    0.002    0.022    0.004 loopTrace.py:742(mergeDynamicVariable)
        9    0.000    0.000    0.021    0.002 pyparsing.py:1623(__init__)
       10    0.000    0.000    0.021    0.002 pyparsing.py:1746(__init__)
    12108    0.020    0.000    0.020    0.000 instructionsTrace.py:50(equal)
     1833    0.012    0.000    0.020    0.000 utilities.py:27(bigToLittleEndian)
     1833    0.010    0.000    0.015    0.000 utilities.py:2(normalizeValueToSize)
       24    0.000    0.000    0.015    0.001 sre_compile.py:486(_code)
        1    0.004    0.004    0.013    0.013 tempfile.py:18(<module>)
        1    0.000    0.000    0.012    0.012 pyparsing.py:3418(makeHTMLTags)
        1    0.000    0.000    0.012    0.012 pyparsing.py:3390(_makeTags)
     5784    0.012    0.000    0.012    0.000 {method 'add' of 'set' objects}
      797    0.003    0.000    0.012    0.000 sre_parse.py:207(get)
   113/24    0.003    0.000    0.011    0.000 sre_compile.py:38(_compile)
        2    0.000    0.000    0.011    0.005 pyparsing.py:3310(srange)
        1    0.006    0.006    0.010    0.010 subprocess.py:377(<module>)
      947    0.007    0.000    0.010    0.000 sre_parse.py:188(__next)
        2    0.000    0.000    0.010    0.005 pyparsing.py:1039(parseString)
     5693    0.010    0.000    0.010    0.000 instructionsTrace.py:59(isALoop)
