Loop detection on 6882 instructions... Done
Dynamic instructions... Done
         8240907 function calls (6860883 primitive calls) in 26.952 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   26.952   26.952 <string>:1(<module>)
        1    0.001    0.001   26.952   26.952 {execfile}
        1    0.019    0.019   26.951   26.951 main.py:1(<module>)
        1    0.001    0.001   26.840   26.840 main.py:4(main)
        1    0.233    0.233   24.315   24.315 loopTrace.py:514(detectLoop)
1060311/804    8.487    0.000   22.846    0.028 copy.py:144(deepcopy)
320712/804    2.124    0.000   22.827    0.028 copy.py:224(_deepcopy_list)
    29694    0.432    0.000   20.624    0.001 copy.py:277(_deepcopy_inst)
    29694    1.575    0.000   19.118    0.001 copy.py:251(_deepcopy_dict)
      204    0.104    0.001   18.158    0.089 loopTrace.py:41(doublons)
6749/6748    0.155    0.000    5.398    0.001 loopTrace.py:461(match)
     6681    0.123    0.000    5.095    0.001 loopTrace.py:413(increment)
      529    0.039    0.000    4.932    0.009 loopTrace.py:59(suppressByTheEnd)
   617523    2.911    0.000    4.640    0.000 copy.py:261(_keep_alive)
  2058778    2.835    0.000    2.835    0.000 {id}
  1678013    2.447    0.000    2.447    0.000 {method 'get' of 'dict' objects}
        1    0.508    0.508    1.696    1.696 instructionsTrace.py:119(connectorForST)
   958626    1.398    0.000    1.398    0.000 {method 'append' of 'list' objects}
       67    0.412    0.006    0.814    0.012 loopTrace.py:553(detectDynamicInstructions)
    13777    0.256    0.000    0.670    0.000 utilities.py:19(normalizeValueToRegister)
   101630    0.303    0.000    0.444    0.000 loopTrace.py:108(empty)
310550/310507    0.433    0.000    0.433    0.000 {len}
   237423    0.341    0.000    0.341    0.000 copy.py:197(_deepcopy_atomic)
   181709    0.341    0.000    0.341    0.000 variable.py:17(contains)
    70445    0.218    0.000    0.317    0.000 utilities.py:9(getRegisterLength)
   118858    0.291    0.000    0.291    0.000 {hasattr}
   144518    0.224    0.000    0.224    0.000 {method 'find' of 'str' objects}
        1    0.002    0.002    0.092    0.092 loopTrace.py:12(<module>)
        1    0.005    0.005    0.090    0.090 pydot.py:17(<module>)
    29782    0.081    0.000    0.081    0.000 {method 'update' of 'dict' objects}
    53720    0.080    0.000    0.080    0.000 loopTrace.py:95(head)
        1    0.004    0.004    0.060    0.060 dot_parser.py:11(<module>)
        1    0.003    0.003    0.055    0.055 pyparsing.py:59(<module>)
    27666    0.055    0.000    0.055    0.000 {method 'split' of 'str' objects}
    32217    0.053    0.000    0.053    0.000 instructionsTrace.py:50(equal)
     3146    0.040    0.000    0.051    0.000 utilities.py:27(bigToLittleEndian)
    29694    0.048    0.000    0.048    0.000 {method 'iteritems' of 'dict' objects}
        1    0.023    0.023    0.043    0.043 instructionsTrace.py:23(projectionOnInst)
     6888    0.042    0.000    0.042    0.000 instructionsTrace.py:31(__init__)
       24    0.000    0.000    0.039    0.002 re.py:188(compile)
       24    0.000    0.000    0.039    0.002 re.py:229(_compile)
      204    0.001    0.000    0.039    0.000 loopTrace.py:381(createLoops)
       24    0.000    0.000    0.038    0.002 sre_compile.py:501(compile)
    23804    0.036    0.000    0.036    0.000 {method 'strip' of 'str' objects}
     3146    0.021    0.000    0.035    0.000 utilities.py:2(normalizeValueToSize)
     6888    0.025    0.000    0.034    0.000 loopTrace.py:25(push)
       67    0.011    0.000    0.034    0.001 loopTrace.py:353(createLoopInstance)
    18674    0.034    0.000    0.034    0.000 {range}
     6726    0.021    0.000    0.031    0.000 loopTrace.py:28(pop)
       68    0.001    0.000    0.027    0.000 loopTrace.py:438(closeLoop)
       24    0.000    0.000    0.024    0.001 sre_parse.py:669(parse)
    51/24    0.001    0.000    0.023    0.001 sre_parse.py:307(_parse_sub)
    71/29    0.006    0.000    0.022    0.001 sre_parse.py:385(_parse)
       10    0.000    0.000    0.018    0.002 pyparsing.py:1746(__init__)
        9    0.000    0.000    0.017    0.002 pyparsing.py:1623(__init__)
     2211    0.010    0.000    0.016    0.000 loopTrace.py:192(equal)
       67    0.008    0.000    0.014    0.000 loopTrace.py:744(mergeDynamicVariable)
       24    0.000    0.000    0.014    0.001 sre_compile.py:486(_code)
        1    0.003    0.003    0.012    0.012 tempfile.py:18(<module>)
     6749    0.012    0.000    0.012    0.000 instructionsTrace.py:59(isALoop)
     6882    0.011    0.000    0.011    0.000 instructionsTrace.py:56(projectionOnInst)
     6730    0.010    0.000    0.010    0.000 instructionsTrace.py:53(string)
     6794    0.010    0.000    0.010    0.000 {method 'pop' of 'list' objects}
   113/24    0.003    0.000    0.010    0.000 sre_compile.py:38(_compile)
