Loop detection on 6882 instructions... Done
Dynamic instructions... Done
         2674302 function calls (2382140 primitive calls) in 9.120 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.120    9.120 <string>:1(<module>)
        1    0.001    0.001    9.120    9.120 {execfile}
        1    0.014    0.014    9.119    9.119 main.py:1(<module>)
        1    0.001    0.001    9.013    9.013 main.py:4(main)
        1    0.206    0.206    6.506    6.506 loopTrace.py:512(detectLoop)
6749/6748    0.160    0.000    5.640    0.001 loopTrace.py:459(match)
     6681    0.127    0.000    5.329    0.001 loopTrace.py:411(increment)
      529    0.041    0.000    5.158    0.010 loopTrace.py:57(suppressByTheEnd)
224817/524    1.911    0.000    5.073    0.010 copy.py:144(deepcopy)
67784/524    0.397    0.000    5.061    0.010 copy.py:224(_deepcopy_list)
     6726    0.101    0.000    4.865    0.001 copy.py:277(_deepcopy_inst)
     6726    0.375    0.000    4.503    0.001 copy.py:251(_deepcopy_dict)
        1    0.505    0.505    1.689    1.689 instructionsTrace.py:119(connectorForST)
   135762    0.668    0.000    1.062    0.000 copy.py:261(_keep_alive)
       67    0.405    0.006    0.804    0.012 loopTrace.py:551(detectDynamicInstructions)
    13777    0.256    0.000    0.667    0.000 utilities.py:19(normalizeValueToRegister)
   442379    0.628    0.000    0.628    0.000 {id}
   360834    0.544    0.000    0.544    0.000 {method 'get' of 'dict' objects}
   101630    0.311    0.000    0.454    0.000 loopTrace.py:106(empty)
310754/310711    0.434    0.000    0.434    0.000 {len}
   262067    0.392    0.000    0.392    0.000 {method 'append' of 'list' objects}
   181709    0.340    0.000    0.340    0.000 variable.py:17(contains)
    70445    0.217    0.000    0.314    0.000 utilities.py:9(getRegisterLength)
   144518    0.225    0.000    0.225    0.000 {method 'find' of 'str' objects}
      204    0.067    0.000    0.124    0.001 loopTrace.py:41(possibleLoops)
        1    0.002    0.002    0.092    0.092 loopTrace.py:12(<module>)
        1    0.005    0.005    0.090    0.090 pydot.py:17(<module>)
    53720    0.083    0.000    0.083    0.000 loopTrace.py:93(head)
    54526    0.080    0.000    0.080    0.000 copy.py:197(_deepcopy_atomic)
    26986    0.070    0.000    0.070    0.000 {hasattr}
        1    0.004    0.004    0.060    0.060 dot_parser.py:11(<module>)
        1    0.003    0.003    0.055    0.055 pyparsing.py:59(<module>)
    27666    0.055    0.000    0.055    0.000 {method 'split' of 'str' objects}
    32217    0.052    0.000    0.052    0.000 instructionsTrace.py:50(equal)
     3146    0.040    0.000    0.051    0.000 utilities.py:27(bigToLittleEndian)
        1    0.023    0.023    0.044    0.044 instructionsTrace.py:23(projectionOnInst)
     6888    0.041    0.000    0.041    0.000 instructionsTrace.py:31(__init__)
       24    0.000    0.000    0.040    0.002 re.py:188(compile)
       24    0.000    0.000    0.040    0.002 re.py:229(_compile)
       24    0.000    0.000    0.039    0.002 sre_compile.py:501(compile)
      204    0.001    0.000    0.037    0.000 loopTrace.py:379(createLoops)
     6888    0.025    0.000    0.035    0.000 loopTrace.py:25(push)
    23804    0.035    0.000    0.035    0.000 {method 'strip' of 'str' objects}
    18878    0.035    0.000    0.035    0.000 {range}
     3146    0.021    0.000    0.034    0.000 utilities.py:2(normalizeValueToSize)
       67    0.011    0.000    0.032    0.000 loopTrace.py:351(createLoopInstance)
     6726    0.021    0.000    0.032    0.000 loopTrace.py:28(pop)
       68    0.001    0.000    0.027    0.000 loopTrace.py:436(closeLoop)
       24    0.000    0.000    0.024    0.001 sre_parse.py:669(parse)
    51/24    0.001    0.000    0.024    0.001 sre_parse.py:307(_parse_sub)
    71/29    0.006    0.000    0.023    0.001 sre_parse.py:385(_parse)
     6814    0.019    0.000    0.019    0.000 {method 'update' of 'dict' objects}
       10    0.000    0.000    0.018    0.002 pyparsing.py:1746(__init__)
        9    0.000    0.000    0.017    0.002 pyparsing.py:1623(__init__)
     2211    0.010    0.000    0.016    0.000 loopTrace.py:190(equal)
       67    0.008    0.000    0.014    0.000 loopTrace.py:742(mergeDynamicVariable)
       24    0.000    0.000    0.014    0.001 sre_compile.py:486(_code)
     6749    0.012    0.000    0.012    0.000 instructionsTrace.py:59(isALoop)
        1    0.003    0.003    0.012    0.012 tempfile.py:18(<module>)
     6882    0.011    0.000    0.011    0.000 instructionsTrace.py:56(projectionOnInst)
     6726    0.011    0.000    0.011    0.000 {method 'iteritems' of 'dict' objects}
     6794    0.011    0.000    0.011    0.000 {method 'pop' of 'list' objects}
     6730    0.010    0.000    0.010    0.000 instructionsTrace.py:53(string)
   113/24    0.003    0.000    0.010    0.000 sre_compile.py:38(_compile)
        1    0.005    0.005    0.009    0.009 subprocess.py:377(<module>)
      797    0.003    0.000    0.009    0.000 sre_parse.py:207(get)
        1    0.000    0.000    0.009    0.009 pyparsing.py:3418(makeHTMLTags)
        1    0.000    0.000    0.009    0.009 pyparsing.py:3390(_makeTags)
        2    0.000    0.000    0.009    0.004 pyparsing.py:3310(srange)
     3022    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.008    0.004 pyparsing.py:1039(parseString)
        1    0.001    0.001    0.008    0.008 random.py:40(<module>)
      947    0.005    0.000    0.008    0.000 sre_parse.py:188(__next)
     4215    0.008    0.000    0.008    0.000 variable.py:23(__init__)
    174/2    0.002    0.000    0.008    0.004 pyparsing.py:913(_parseNoCache)
     30/2    0.000    0.000    0.008    0.004 pyparsing.py:2333(parseImpl)
     56/2    0.000    0.000    0.007    0.003 pyparsing.py:2602(parseImpl)
        2    0.000    0.000    0.007    0.003 pyparsing.py:2749(parseImpl)
        1    0.000    0.000    0.007    0.007 random.py:90(__init__)
        1    0.000    0.000    0.007    0.007 random.py:99(seed)
        1    0.007    0.007    0.007    0.007 {nt.urandom}
     20/8    0.000    0.000    0.007    0.001 pyparsing.py:2456(parseImpl)
       25    0.000    0.000    0.005    0.000 sre_compile.py:184(_compile_charset)
       25    0.002    0.000    0.005    0.000 sre_compile.py:213(_optimize_charset)
     3011    0.005    0.000    0.005    0.000 {method 'difference' of 'set' objects}
        1    0.001    0.001    0.005    0.005 threading.py:1(<module>)
      116    0.001    0.000    0.004    0.000 copy.py:65(copy)
       24    0.001    0.000    0.004    0.000 sre_compile.py:367(_compile_info)
       40    0.000    0.000    0.004    0.000 pyparsing.py:699(copy)
        6    0.000    0.000    0.003    0.001 pyparsing.py:2987(__init__)
     12/6    0.000    0.000    0.003    0.001 pyparsing.py:2608(leaveWhitespace)
      762    0.001    0.000    0.002    0.000 sre_parse.py:201(match)
     10/6    0.000    0.000    0.002    0.000 pyparsing.py:2238(leaveWhitespace)
      372    0.001    0.000    0.002    0.000 sre_parse.py:136(__getitem__)
     1141    0.002    0.000    0.002    0.000 {isinstance}
        1    0.000    0.000    0.002    0.002 warnings.py:45(filterwarnings)
   146/58    0.001    0.000    0.002    0.000 sre_parse.py:146(getwidth)
        1    0.000    0.000    0.002    0.002 pyparsing.py:3197(oneOf)
       40    0.001    0.000    0.002    0.000 copy.py:300(_reconstruct)
        1    0.001    0.001    0.002    0.002 glob.py:1(<module>)
       16    0.001    0.000    0.001    0.000 sre_compile.py:264(_mk_bitmap)
       12    0.000    0.000    0.001    0.000 pyparsing.py:3003(postParse)
      858    0.001    0.000    0.001    0.000 variable.py:13(incrementSize)
       28    0.001    0.000    0.001    0.000 pyparsing.py:2587(__init__)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
      142    0.001    0.000    0.001    0.000 pyparsing.py:275(__new__)
    65/62    0.000    0.000    0.001    0.000 pyparsing.py:108(_ustr)
      612    0.001    0.000    0.001    0.000 {method 'reverse' of 'list' objects}
       40    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      650    0.001    0.000    0.001    0.000 sre_compile.py:24(_identityfunction)
       17    0.000    0.000    0.001    0.000 pyparsing.py:2967(__init__)
       67    0.000    0.000    0.001    0.000 loopTrace.py:209(__init__)
       23    0.000    0.000    0.001    0.000 pyparsing.py:1153(__add__)
      177    0.001    0.000    0.001    0.000 sre_parse.py:144(append)
      588    0.001    0.000    0.001    0.000 {ord}
  142/140    0.001    0.000    0.001    0.000 pyparsing.py:284(__init__)
      166    0.000    0.000    0.001    0.000 sre_parse.py:132(__len__)
     22/3    0.000    0.000    0.001    0.000 pyparsing.py:2269(streamline)
       99    0.001    0.000    0.001    0.000 pyparsing.py:676(__init__)
     23/4    0.000    0.000    0.001    0.000 pyparsing.py:2627(streamline)
        6    0.000    0.000    0.001    0.000 pyparsing.py:717(setResultsName)
       23    0.000    0.000    0.001    0.000 pyparsing.py:2322(__init__)
      275    0.000    0.000    0.000    0.000 {min}
       17    0.000    0.000    0.000    0.000 pyparsing.py:1486(__init__)
       42    0.000    0.000    0.000    0.000 pyparsing.py:1447(__init__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3308(<lambda>)
      165    0.000    0.000    0.000    0.000 pyparsing.py:1413(__getattr__)
       33    0.000    0.000    0.000    0.000 sre_compile.py:360(_simple)
        1    0.000    0.000    0.000    0.000 instructionsTrace.py:4(<module>)
       29    0.000    0.000    0.000    0.000 pyparsing.py:2217(__init__)
