Loop detection on 6882 instructions... Done
Dynamic instructions... Done
         1158330 function calls (1157721 primitive calls) in 4.014 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.014    4.014 <string>:1(<module>)
        1    0.001    0.001    4.014    4.014 {execfile}
        1    0.014    0.014    4.013    4.013 main.py:1(<module>)
        1    0.001    0.001    3.898    3.898 main.py:4(main)
        1    0.516    0.516    1.712    1.712 instructionsTrace.py:119(connectorForST)
        1    0.198    0.198    1.371    1.371 loopTrace.py:512(detectLoop)
       67    0.403    0.006    0.800    0.012 loopTrace.py:551(detectDynamicInstructions)
    13777    0.258    0.000    0.674    0.000 utilities.py:19(normalizeValueToRegister)
6749/6748    0.151    0.000    0.529    0.000 loopTrace.py:459(match)
   101630    0.300    0.000    0.440    0.000 loopTrace.py:106(empty)
310754/310711    0.433    0.000    0.433    0.000 {len}
   181709    0.337    0.000    0.337    0.000 variable.py:17(contains)
    70445    0.219    0.000    0.317    0.000 utilities.py:9(getRegisterLength)
     6681    0.113    0.000    0.258    0.000 loopTrace.py:411(increment)
   144518    0.224    0.000    0.224    0.000 {method 'find' of 'str' objects}
    84138    0.124    0.000    0.124    0.000 {method 'append' of 'list' objects}
      204    0.067    0.000    0.124    0.001 loopTrace.py:41(possibleLoops)
        1    0.003    0.003    0.101    0.101 loopTrace.py:12(<module>)
        1    0.005    0.005    0.098    0.098 pydot.py:17(<module>)
    53720    0.080    0.000    0.080    0.000 loopTrace.py:93(head)
      529    0.029    0.000    0.075    0.000 loopTrace.py:57(suppressByTheEnd)
        1    0.004    0.004    0.067    0.067 dot_parser.py:11(<module>)
        1    0.003    0.003    0.061    0.061 pyparsing.py:59(<module>)
    27666    0.056    0.000    0.056    0.000 {method 'split' of 'str' objects}
    32217    0.051    0.000    0.051    0.000 instructionsTrace.py:50(equal)
     3146    0.040    0.000    0.051    0.000 utilities.py:27(bigToLittleEndian)
       24    0.000    0.000    0.044    0.002 re.py:188(compile)
       24    0.000    0.000    0.044    0.002 re.py:229(_compile)
        1    0.023    0.023    0.043    0.043 instructionsTrace.py:23(projectionOnInst)
       24    0.000    0.000    0.043    0.002 sre_compile.py:501(compile)
     6888    0.042    0.000    0.042    0.000 instructionsTrace.py:31(__init__)
    18878    0.036    0.000    0.036    0.000 {range}
      204    0.001    0.000    0.035    0.000 loopTrace.py:379(createLoops)
     3146    0.022    0.000    0.035    0.000 utilities.py:2(normalizeValueToSize)
    23804    0.035    0.000    0.035    0.000 {method 'strip' of 'str' objects}
     6888    0.024    0.000    0.033    0.000 loopTrace.py:25(push)
       67    0.011    0.000    0.033    0.000 loopTrace.py:351(createLoopInstance)
     6726    0.020    0.000    0.030    0.000 loopTrace.py:28(pop)
       24    0.000    0.000    0.027    0.001 sre_parse.py:669(parse)
    51/24    0.001    0.000    0.026    0.001 sre_parse.py:307(_parse_sub)
