Connection with 100000 lines...
Connection with 100000 lines...
Loop detection on 248411 instructions... 100000 lines...
100000 lines...
Done
Dynamic instructions... Done
         77122336 function calls (66688760 primitive calls) in 270.107 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  270.107  270.107 <string>:1(<module>)
        1    0.001    0.001  270.107  270.107 {execfile}
        1    0.449    0.449  270.106  270.106 main.py:1(<module>)
        1    0.015    0.015  269.565  269.565 main.py:4(main)
        1    1.313    1.313  209.622  209.622 loopTrace.py:512(detectLoop)
   248400    5.859    0.000  205.475    0.001 loopTrace.py:459(match)
   248399    4.735    0.000  195.164    0.001 loopTrace.py:411(increment)
    62102    1.803    0.000  187.784    0.003 loopTrace.py:57(suppressByTheEnd)
8011029/62101   68.864    0.000  184.303    0.003 copy.py:144(deepcopy)
2546141/62101   13.267    0.000  182.862    0.003 copy.py:224(_deepcopy_list)
   248404    3.684    0.000  175.597    0.001 copy.py:277(_deepcopy_inst)
   248404   13.337    0.000  162.827    0.001 copy.py:251(_deepcopy_dict)
        1   18.644   18.644   53.394   53.394 instructionsTrace.py:119(connectorForST)
  5340686   25.808    0.000   41.130    0.000 copy.py:261(_keep_alive)
 16456805   22.956    0.000   22.956    0.000 {id}
 13351895   19.781    0.000   19.781    0.000 {method 'get' of 'dict' objects}
  8261574   12.422    0.000   12.422    0.000 {method 'append' of 'list' objects}
   310515    4.622    0.000   11.792    0.000 utilities.py:19(normalizeValueToRegister)
   248412    8.448    0.000    8.448    0.000 instructionsTrace.py:31(__init__)
  4719768    7.488    0.000    7.488    0.000 {method 'find' of 'str' objects}
4624682/4624639    6.612    0.000    6.612    0.000 {len}
        1    3.915    3.915    6.534    6.534 loopTrace.py:551(detectDynamicInstructions)
  1193055    3.769    0.000    5.475    0.000 utilities.py:9(getRegisterLength)
  2297737    3.338    0.000    3.338    0.000 copy.py:197(_deepcopy_atomic)
  1987196    3.004    0.000    3.004    0.000 loopTrace.py:93(head)
   993698    2.451    0.000    2.451    0.000 {hasattr}
   869447    1.831    0.000    1.831    0.000 {method 'split' of 'str' objects}
        1    0.902    0.902    1.681    1.681 instructionsTrace.py:23(projectionOnInst)
   124206    0.817    0.000    1.243    0.000 utilities.py:27(bigToLittleEndian)
   248412    0.878    0.000    1.236    0.000 loopTrace.py:25(push)
   248404    0.781    0.000    1.169    0.000 loopTrace.py:28(pop)
   248405    0.793    0.000    1.152    0.000 loopTrace.py:106(empty)
   683131    1.027    0.000    1.027    0.000 {method 'strip' of 'str' objects}
   124206    0.648    0.000    1.005    0.000 utilities.py:2(normalizeValueToSize)
   496880    0.942    0.000    0.942    0.000 {range}
   496854    0.850    0.000    0.850    0.000 instructionsTrace.py:50(equal)
   248492    0.678    0.000    0.678    0.000 {method 'update' of 'dict' objects}
   248400    0.511    0.000    0.511    0.000 variable.py:17(contains)
   248402    0.464    0.000    0.464    0.000 variable.py:23(__init__)
   248400    0.458    0.000    0.458    0.000 instructionsTrace.py:59(isALoop)
   248411    0.410    0.000    0.410    0.000 instructionsTrace.py:56(projectionOnInst)
   248405    0.388    0.000    0.388    0.000 {method 'pop' of 'list' objects}
   248404    0.384    0.000    0.384    0.000 {method 'iteritems' of 'dict' objects}
   248404    0.378    0.000    0.378    0.000 instructionsTrace.py:53(string)
   124200    0.205    0.000    0.205    0.000 {method 'difference' of 'set' objects}
    62114    0.092    0.000    0.092    0.000 {method 'reverse' of 'list' objects}
        1    0.002    0.002    0.091    0.091 loopTrace.py:12(<module>)
        1    0.004    0.004    0.089    0.089 pydot.py:17(<module>)
        1    0.004    0.004    0.060    0.060 dot_parser.py:11(<module>)
        1    0.003    0.003    0.055    0.055 pyparsing.py:59(<module>)
       24    0.000    0.000    0.039    0.002 re.py:188(compile)
       24    0.000    0.000    0.039    0.002 re.py:229(_compile)
       24    0.000    0.000    0.038    0.002 sre_compile.py:501(compile)
       24    0.000    0.000    0.024    0.001 sre_parse.py:669(parse)
    51/24    0.001    0.000    0.023    0.001 sre_parse.py:307(_parse_sub)
    71/29    0.006    0.000    0.022    0.001 sre_parse.py:385(_parse)
       10    0.000    0.000    0.018    0.002 pyparsing.py:1746(__init__)
        9    0.000    0.000    0.017    0.002 pyparsing.py:1623(__init__)
       24    0.000    0.000    0.014    0.001 sre_compile.py:486(_code)
        1    0.004    0.004    0.012    0.012 tempfile.py:18(<module>)
   113/24    0.003    0.000    0.010    0.000 sre_compile.py:38(_compile)
        1    0.000    0.000    0.009    0.009 pyparsing.py:3418(makeHTMLTags)
        1    0.000    0.000    0.009    0.009 pyparsing.py:3390(_makeTags)
        2    0.000    0.000    0.009    0.004 pyparsing.py:3310(srange)
      797    0.003    0.000    0.009    0.000 sre_parse.py:207(get)
        1    0.001    0.001    0.008    0.008 random.py:40(<module>)
        2    0.000    0.000    0.008    0.004 pyparsing.py:1039(parseString)
        1    0.004    0.004    0.008    0.008 subprocess.py:377(<module>)
    174/2    0.002    0.000    0.008    0.004 pyparsing.py:913(_parseNoCache)
     30/2    0.000    0.000    0.008    0.004 pyparsing.py:2333(parseImpl)
      947    0.005    0.000    0.007    0.000 sre_parse.py:188(__next)
     56/2    0.000    0.000    0.007    0.003 pyparsing.py:2602(parseImpl)
        1    0.000    0.000    0.007    0.007 random.py:90(__init__)
        1    0.000    0.000    0.007    0.007 random.py:99(seed)
        2    0.000    0.000    0.007    0.003 pyparsing.py:2749(parseImpl)
        1    0.007    0.007    0.007    0.007 {nt.urandom}
     20/8    0.000    0.000    0.007    0.001 pyparsing.py:2456(parseImpl)
       25    0.000    0.000    0.005    0.000 sre_compile.py:184(_compile_charset)
       25    0.002    0.000    0.005    0.000 sre_compile.py:213(_optimize_charset)
       24    0.001    0.000    0.004    0.000 sre_compile.py:367(_compile_info)
        1    0.001    0.001    0.004    0.004 threading.py:1(<module>)
       40    0.000    0.000    0.004    0.000 pyparsing.py:699(copy)
       41    0.001    0.000    0.003    0.000 copy.py:65(copy)
        6    0.000    0.000    0.003    0.001 pyparsing.py:2987(__init__)
     12/6    0.000    0.000    0.003    0.001 pyparsing.py:2608(leaveWhitespace)
      762    0.001    0.000    0.002    0.000 sre_parse.py:201(match)
     10/6    0.000    0.000    0.002    0.000 pyparsing.py:2238(leaveWhitespace)
      372    0.001    0.000    0.002    0.000 sre_parse.py:136(__getitem__)
     1141    0.002    0.000    0.002    0.000 {isinstance}
   146/58    0.001    0.000    0.002    0.000 sre_parse.py:146(getwidth)
        1    0.000    0.000    0.002    0.002 pyparsing.py:3197(oneOf)
       40    0.001    0.000    0.002    0.000 copy.py:300(_reconstruct)
        1    0.001    0.001    0.002    0.002 glob.py:1(<module>)
       16    0.001    0.000    0.001    0.000 sre_compile.py:264(_mk_bitmap)
       12    0.000    0.000    0.001    0.000 pyparsing.py:3003(postParse)
        1    0.000    0.000    0.001    0.001 warnings.py:45(filterwarnings)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
      142    0.001    0.000    0.001    0.000 pyparsing.py:275(__new__)
    65/62    0.000    0.000    0.001    0.000 pyparsing.py:108(_ustr)
       28    0.000    0.000    0.001    0.000 pyparsing.py:2587(__init__)
       40    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
       23    0.000    0.000    0.001    0.000 pyparsing.py:1153(__add__)
      650    0.001    0.000    0.001    0.000 sre_compile.py:24(_identityfunction)
      588    0.001    0.000    0.001    0.000 {ord}
      177    0.001    0.000    0.001    0.000 sre_parse.py:144(append)
  142/140    0.001    0.000    0.001    0.000 pyparsing.py:284(__init__)
      166    0.000    0.000    0.001    0.000 sre_parse.py:132(__len__)
       17    0.000    0.000    0.001    0.000 pyparsing.py:2967(__init__)
     22/3    0.000    0.000    0.001    0.000 pyparsing.py:2269(streamline)
       99    0.001    0.000    0.001    0.000 pyparsing.py:676(__init__)
        6    0.000    0.000    0.001    0.000 pyparsing.py:717(setResultsName)
     23/4    0.000    0.000    0.001    0.000 pyparsing.py:2627(streamline)
       23    0.000    0.000    0.001    0.000 pyparsing.py:2322(__init__)
       12    0.000    0.000    0.000    0.000 loopTrace.py:41(possibleLoops)
       17    0.000    0.000    0.000    0.000 pyparsing.py:1486(__init__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3308(<lambda>)
      267    0.000    0.000    0.000    0.000 {min}
       42    0.000    0.000    0.000    0.000 pyparsing.py:1447(__init__)
      165    0.000    0.000    0.000    0.000 pyparsing.py:1413(__getattr__)
       18    0.000    0.000    0.000    0.000 pyparsing.py:139(_str2dict)
