Connection with 100000 lines...
Connection with 100000 lines...
Loop detection on 248411 instructions... 100000 lines...
100000 lines...
Done
Dynamic instructions... Done
         20299906 function calls (20299298 primitive calls) in 83.186 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   83.186   83.186 <string>:1(<module>)
        1    0.001    0.001   83.186   83.186 {execfile}
        1    0.474    0.474   83.186   83.186 main.py:1(<module>)
        1    0.000    0.000   82.619   82.619 main.py:4(main)
        1   18.430   18.430   53.342   53.342 instructionsTrace.py:119(connectorForST)
        1    1.165    1.165   22.892   22.892 loopTrace.py:505(detectLoop)
   248400    5.589    0.000   20.601    0.000 loopTrace.py:459(match)
   310515    4.592    0.000   11.744    0.000 utilities.py:19(normalizeValueToRegister)
   248399    4.403    0.000   10.607    0.000 loopTrace.py:411(increment)
   248412    8.527    0.000    8.527    0.000 instructionsTrace.py:31(__init__)
  4719768    7.594    0.000    7.594    0.000 {method 'find' of 'str' objects}
4624682/4624639    6.561    0.000    6.562    0.000 {len}
        1    3.809    3.809    6.385    6.385 loopTrace.py:545(detectDynamicInstructions)
  1193055    3.765    0.000    5.462    0.000 utilities.py:9(getRegisterLength)
    62102    1.357    0.000    3.569    0.000 loopTrace.py:57(suppressByTheEnd)
  1987196    2.981    0.000    2.981    0.000 loopTrace.py:93(head)
  1492558    2.310    0.000    2.310    0.000 {method 'append' of 'list' objects}
   869447    1.839    0.000    1.839    0.000 {method 'split' of 'str' objects}
   124206    0.814    0.000    1.242    0.000 utilities.py:27(bigToLittleEndian)
   248412    0.879    0.000    1.236    0.000 loopTrace.py:25(push)
   248404    0.767    0.000    1.140    0.000 loopTrace.py:28(pop)
   248405    0.776    0.000    1.125    0.000 loopTrace.py:106(empty)
   683131    1.025    0.000    1.025    0.000 {method 'strip' of 'str' objects}
   124206    0.642    0.000    0.996    0.000 utilities.py:2(normalizeValueToSize)
   496880    0.957    0.000    0.957    0.000 {range}
   496854    0.841    0.000    0.841    0.000 instructionsTrace.py:50(equal)
    62142    0.330    0.000    0.582    0.000 copy.py:65(copy)
   248400    0.501    0.000    0.501    0.000 variable.py:17(contains)
   248402    0.458    0.000    0.458    0.000 variable.py:23(__init__)
   248400    0.432    0.000    0.432    0.000 instructionsTrace.py:59(isALoop)
   248405    0.374    0.000    0.374    0.000 {method 'pop' of 'list' objects}
   248404    0.371    0.000    0.371    0.000 instructionsTrace.py:53(string)
   124200    0.200    0.000    0.200    0.000 {method 'difference' of 'set' objects}
    62102    0.152    0.000    0.152    0.000 copy.py:112(_copy_with_constructor)
    62281    0.097    0.000    0.097    0.000 {method 'get' of 'dict' objects}
        1    0.003    0.003    0.093    0.093 loopTrace.py:12(<module>)
        1    0.005    0.005    0.090    0.090 pydot.py:17(<module>)
    62114    0.088    0.000    0.088    0.000 {method 'reverse' of 'list' objects}
        1    0.004    0.004    0.061    0.061 dot_parser.py:11(<module>)
        1    0.003    0.003    0.056    0.056 pyparsing.py:59(<module>)
       24    0.000    0.000    0.040    0.002 re.py:188(compile)
       24    0.000    0.000    0.040    0.002 re.py:229(_compile)
       24    0.000    0.000    0.039    0.002 sre_compile.py:501(compile)
       24    0.000    0.000    0.024    0.001 sre_parse.py:669(parse)
    51/24    0.001    0.000    0.024    0.001 sre_parse.py:307(_parse_sub)
    71/29    0.007    0.000    0.023    0.001 sre_parse.py:385(_parse)
       10    0.000    0.000    0.018    0.002 pyparsing.py:1746(__init__)
        9    0.000    0.000    0.018    0.002 pyparsing.py:1623(__init__)
       24    0.000    0.000    0.014    0.001 sre_compile.py:486(_code)
        1    0.003    0.003    0.012    0.012 tempfile.py:18(<module>)
   113/24    0.003    0.000    0.010    0.000 sre_compile.py:38(_compile)
        1    0.000    0.000    0.009    0.009 pyparsing.py:3418(makeHTMLTags)
        1    0.000    0.000    0.009    0.009 pyparsing.py:3390(_makeTags)
      797    0.003    0.000    0.009    0.000 sre_parse.py:207(get)
        2    0.000    0.000    0.009    0.004 pyparsing.py:3310(srange)
        1    0.005    0.005    0.009    0.009 subprocess.py:377(<module>)
        2    0.000    0.000    0.008    0.004 pyparsing.py:1039(parseString)
        1    0.001    0.001    0.008    0.008 random.py:40(<module>)
    174/2    0.002    0.000    0.008    0.004 pyparsing.py:913(_parseNoCache)
     30/2    0.000    0.000    0.008    0.004 pyparsing.py:2333(parseImpl)
      947    0.005    0.000    0.008    0.000 sre_parse.py:188(__next)
     56/2    0.000    0.000    0.007    0.003 pyparsing.py:2602(parseImpl)
        1    0.000    0.000    0.007    0.007 random.py:90(__init__)
        1    0.000    0.000    0.007    0.007 random.py:99(seed)
        2    0.000    0.000    0.007    0.003 pyparsing.py:2749(parseImpl)
        1    0.007    0.007    0.007    0.007 {nt.urandom}
     20/8    0.000    0.000    0.007    0.001 pyparsing.py:2456(parseImpl)
       25    0.000    0.000    0.006    0.000 sre_compile.py:184(_compile_charset)
       25    0.002    0.000    0.005    0.000 sre_compile.py:213(_optimize_charset)
        1    0.001    0.001    0.004    0.004 threading.py:1(<module>)
       24    0.001    0.000    0.004    0.000 sre_compile.py:367(_compile_info)
       40    0.000    0.000    0.004    0.000 pyparsing.py:699(copy)
        6    0.000    0.000    0.003    0.001 pyparsing.py:2987(__init__)
     12/6    0.000    0.000    0.003    0.001 pyparsing.py:2608(leaveWhitespace)
      762    0.001    0.000    0.002    0.000 sre_parse.py:201(match)
     10/6    0.000    0.000    0.002    0.000 pyparsing.py:2238(leaveWhitespace)
      372    0.001    0.000    0.002    0.000 sre_parse.py:136(__getitem__)
     1141    0.002    0.000    0.002    0.000 {isinstance}
   146/58    0.001    0.000    0.002    0.000 sre_parse.py:146(getwidth)
       40    0.001    0.000    0.002    0.000 copy.py:300(_reconstruct)
        1    0.000    0.000    0.002    0.002 pyparsing.py:3197(oneOf)
        1    0.001    0.001    0.002    0.002 glob.py:1(<module>)
       16    0.001    0.000    0.001    0.000 sre_compile.py:264(_mk_bitmap)
       12    0.000    0.000    0.001    0.000 pyparsing.py:3003(postParse)
        1    0.000    0.000    0.001    0.001 warnings.py:45(filterwarnings)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
      142    0.001    0.000    0.001    0.000 pyparsing.py:275(__new__)
    65/62    0.000    0.000    0.001    0.000 pyparsing.py:108(_ustr)
       28    0.000    0.000    0.001    0.000 pyparsing.py:2587(__init__)
       40    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      650    0.001    0.000    0.001    0.000 sre_compile.py:24(_identityfunction)
       23    0.000    0.000    0.001    0.000 pyparsing.py:1153(__add__)
      177    0.001    0.000    0.001    0.000 sre_parse.py:144(append)
      588    0.001    0.000    0.001    0.000 {ord}
  142/140    0.001    0.000    0.001    0.000 pyparsing.py:284(__init__)
      166    0.001    0.000    0.001    0.000 sre_parse.py:132(__len__)
       17    0.000    0.000    0.001    0.000 pyparsing.py:2967(__init__)
     22/3    0.000    0.000    0.001    0.000 pyparsing.py:2269(streamline)
       99    0.001    0.000    0.001    0.000 pyparsing.py:676(__init__)
     23/4    0.000    0.000    0.001    0.000 pyparsing.py:2627(streamline)
        6    0.000    0.000    0.001    0.000 pyparsing.py:717(setResultsName)
       23    0.000    0.000    0.001    0.000 pyparsing.py:2322(__init__)
       82    0.000    0.000    0.001    0.000 {hasattr}
       17    0.000    0.000    0.000    0.000 pyparsing.py:1486(__init__)
       12    0.000    0.000    0.000    0.000 loopTrace.py:41(possibleLoops)
      267    0.000    0.000    0.000    0.000 {min}
        6    0.000    0.000    0.000    0.000 pyparsing.py:3308(<lambda>)
       42    0.000    0.000    0.000    0.000 pyparsing.py:1447(__init__)
      165    0.000    0.000    0.000    0.000 pyparsing.py:1413(__getattr__)
       29    0.000    0.000    0.000    0.000 pyparsing.py:2217(__init__)
        1    0.000    0.000    0.000    0.000 instructionsTrace.py:4(<module>)
       33    0.000    0.000    0.000    0.000 sre_compile.py:360(_simple)
       18    0.000    0.000    0.000    0.000 pyparsing.py:139(_str2dict)
       32    0.000    0.000    0.000    0.000 pyparsing.py:1674(parseImpl)
       12    0.000    0.000    0.000    0.000 pyparsing.py:478(copy)
       72    0.000    0.000    0.000    0.000 pyparsing.py:894(preParse)
       36    0.000    0.000    0.000    0.000 pyparsing.py:421(__iadd__)
       24    0.000    0.000    0.000    0.000 sre_parse.py:184(__init__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:339(__delitem__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3104(delimitedList)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3189(_escapeRegexRangeChars)
       11    0.000    0.000    0.000    0.000 pyparsing.py:1719(__str__)
       88    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 pyparsing.py:2794(__init__)
       48    0.000    0.000    0.000    0.000 sre_compile.py:480(isstring)
      132    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1E1FED58}
      113    0.000    0.000    0.000    0.000 sre_parse.py:96(__init__)
       40    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
       11    0.000    0.000    0.000    0.000 pyparsing.py:1787(__str__)
       25    0.000    0.000    0.000    0.000 sre_parse.py:231(_class_escape)
       17    0.000    0.000    0.000    0.000 pyparsing.py:709(setName)
       19    0.000    0.000    0.000    0.000 sre_parse.py:263(_escape)
       12    0.000    0.000    0.000    0.000 pyparsing.py:453(_asStringList)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1451(setName)
        6    0.000    0.000    0.000    0.000 pyparsing.py:1245(__or__)
       32    0.000    0.000    0.000    0.000 pyparsing.py:1506(parseImpl)
       80    0.000    0.000    0.000    0.000 {getattr}
       12    0.000    0.000    0.000    0.000 pyparsing.py:3302(<lambda>)
      105    0.000    0.000    0.000    0.000 {unichr}
       25    0.000    0.000    0.000    0.000 pyparsing.py:1375(__str__)
       30    0.000    0.000    0.000    0.000 pyparsing.py:365(__bool__)
        1    0.000    0.000    0.000    0.000 threading.py:737(__init__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:841(setParseAction)
       11    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
