!SOT
4010f0!push ebp!RR_ebp_12ffc0_esp_12ff80!WM_12ff7c_4_12ffc0!WR_esp_12ff7c
4010f1!mov ebp, esp!RR_esp_12ff7c!WR_ebp_12ff7c
4010f3!sub esp, 0x18!RR_esp_12ff7c!WR_esp_12ff64
4010f6!mov dword ptr [ebp-0x8], 0x1234567!RR_ebp_12ff7c!WM_12ff74_4_1234567
4010fd!mov dword ptr [ebp-0x4], 0x89abcdef!RR_ebp_12ff7c!WM_12ff78_4_89abcdef
401104!mov dword ptr [ebp-0x18], 0xdeadbee1!RR_ebp_12ff7c!WM_12ff64_4_deadbee1
40110b!mov dword ptr [ebp-0x14], 0xdeadbee2!RR_ebp_12ff7c!WM_12ff68_4_deadbee2
401112!mov dword ptr [ebp-0x10], 0xdeadbee3!RR_ebp_12ff7c!WM_12ff6c_4_deadbee3
401119!mov dword ptr [ebp-0xc], 0xdeadbee4!RR_ebp_12ff7c!WM_12ff70_4_deadbee4
401120!lea eax, ptr [ebp-0x18]!RR_ebp_12ff7c!WR_eax_12ff64
401123!push eax!RR_eax_12ff64_esp_12ff64!WM_12ff60_4_12ff64!WR_esp_12ff60
401124!lea ecx, ptr [ebp-0x8]!RR_ebp_12ff7c!WR_ecx_12ff74
401127!push ecx!RR_ecx_12ff74_esp_12ff60!WM_12ff5c_4_12ff74!WR_esp_12ff5c
401128!call 0x401020!RR_esp_12ff5c!WM_12ff58_4_40112d!WR_esp_12ff58
401020!push ebp!RR_ebp_12ff7c_esp_12ff58!WM_12ff54_4_12ff7c!WR_esp_12ff54
401021!mov ebp, esp!RR_esp_12ff54!WR_ebp_12ff54
401023!sub esp, 0x24!RR_esp_12ff54!WR_esp_12ff30
401026!mov eax, dword ptr [ebp+0x8]!RM_12ff5c_4_12ff74!RR_ebp_12ff54!WR_eax_12ff74
401029!mov ecx, dword ptr [eax]!RM_12ff74_4_1234567!RR_eax_12ff74!WR_ecx_1234567
40102b!mov dword ptr [ebp-0x24], ecx!RR_ecx_1234567_ebp_12ff54!WM_12ff30_4_1234567
