!SOT
401020!push ebp!RR_ebp_12ff7c_esp_12ff58!WM_12ff54_4_12ff7c!WR_esp_12ff54
401021!mov ebp, esp!RR_esp_12ff54!WR_ebp_12ff54
401023!sub esp, 0x14!RR_esp_12ff54!WR_esp_12ff40
401026!push esi!RR_esp_12ff40_esi_1!WM_12ff3c_4_1!WR_esp_12ff3c
401027!mov esi, eax!RR_eax_12ff68!WR_esi_12ff68
401029!mov eax, dword ptr [ebp+0x8]!RM_12ff5c_4_12ff60!RR_ebp_12ff54!WR_eax_12ff60
40102c!mov ecx, dword ptr [eax]!RM_12ff60_4_1234567!RR_eax_12ff60!WR_ecx_1234567
40102e!mov eax, dword ptr [eax+0x4]!RM_12ff64_4_89abcdef!RR_eax_12ff60!WR_eax_89abcdef
401031!push edi!RR_esp_12ff3c_edi_403370!WM_12ff38_4_403370!WR_esp_12ff38
401032!mov edi, dword ptr [esi]!RM_12ff68_4_deadbee1!RR_esi_12ff68!WR_edi_deadbee1
401034!mov dword ptr [ebp-0x14], edi!RR_ebp_12ff54_edi_deadbee1!WM_12ff40_4_deadbee1
401037!mov edi, dword ptr [esi+0x4]!RM_12ff6c_4_deadbee2!RR_esi_12ff68!WR_edi_deadbee2
40103a!mov dword ptr [ebp-0x10], edi!RR_ebp_12ff54_edi_deadbee2!WM_12ff44_4_deadbee2
40103d!mov edi, dword ptr [esi+0x8]!RM_12ff70_4_deadbee3!RR_esi_12ff68!WR_edi_deadbee3
401040!mov esi, dword ptr [esi+0xc]!RM_12ff74_4_deadbee4!RR_esi_12ff68!WR_esi_deadbee4
401043!mov edx, 0xc6ef3720!WR_edx_c6ef3720
401048!mov dword ptr [ebp-0xc], edi!RR_ebp_12ff54_edi_deadbee3!WM_12ff48_4_deadbee3
40104b!mov dword ptr [ebp-0x8], esi!RR_ebp_12ff54_esi_deadbee4!WM_12ff4c_4_deadbee4
40104e!mov dword ptr [ebp-0x4], 0x20!RR_ebp_12ff54!WM_12ff50_4_20
401055!mov esi, ecx!RR_ecx_1234567!WR_esi_1234567
401057!shr esi, 0x5!RR_esi_1234567!WR_esi_91a2b
40105a!add esi, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee4!RR_ebp_12ff54_esi_91a2b!WR_esi_deb6d90f
40105d!mov edi, ecx!RR_ecx_1234567!WR_edi_1234567
40105f!shl edi, 0x4!RR_edi_1234567!WR_edi_12345670
401062!add edi, dword ptr [ebp-0xc]!RM_12ff48_4_deadbee3!RR_ebp_12ff54_edi_12345670!WR_edi_f0e21553
401065!xor esi, edi!RR_esi_deb6d90f_edi_f0e21553!WR_esi_2e54cc5c
401067!lea edi, ptr [edx+ecx*1]!RR_ecx_1234567_edx_c6ef3720!WR_edi_c8127c87
40106a!xor esi, edi!RR_esi_2e54cc5c_edi_c8127c87!WR_esi_e646b0db
40106c!sub eax, esi!RR_eax_89abcdef_esi_e646b0db!WR_eax_a3651d14
40106e!mov esi, eax!RR_eax_a3651d14!WR_esi_a3651d14
401070!shr esi, 0x5!RR_esi_a3651d14!WR_esi_51b28e8
401073!add esi, dword ptr [ebp-0x10]!RM_12ff44_4_deadbee2!RR_ebp_12ff54_esi_51b28e8!WR_esi_e3c8e7ca
401076!mov edi, eax!RR_eax_a3651d14!WR_edi_a3651d14
401078!shl edi, 0x4!RR_edi_a3651d14!WR_edi_3651d140
